geoid,year,male_12th_grade_no_diploma,male_hs_graduate_ged_alt,male_college_less_than_1_year,male_college_1_or_more_year,male_associate_degree,male_bachelor_degree,male_master_degree,male_professional_school_degree,male_doctorate_degree,female_12th_grade_no_diploma,female_hs_graduate_ged_alt,female_college_less_than_1_year,female_college_1_or_more_year,female_associate_degree,female_bachelor_degree,female_master_degree,female_professional_school_degree,female_doctorate_degree
16000US0455000,2008,14376,123068,27130,79088,29881,69143,24244,10552,3192,9831,111376,32876,76752,33808,71223,28629,7541,2316
16000US0455000,2009,14127,123980,28856,83834,31704,77205,30058,10787,4879,13114,110334,35240,75547,35673,74055,34552,7128,3296
16000US0455000,2010,9926,116295,27368,69395,32751,74738,24734,8451,3951,10005,117878,35491,72204,32154,74550,27961,6573,2865
16000US0455000,2011,15105,104111,26871,74708,26913,80072,25231,9168,4890,12190,111115,34147,77491,34382,77945,29337,6635,2371
16000US0455000,2012,12735,107028,27495,70718,33343,78485,31193,11760,4208,10123,110727,34203,75603,40187,79096,31236,7490,4032
16000US0455000,2013,12061,112833,27960,75061,35422,79996,28720,10106,5109,10558,114474,33547,76653,41185,82462,35604,7276,3431
16000US0455000,2014,11455,114396,27889,76594,35121,84250,32429,11147,4151,9376,109241,35756,79130,42095,85256,37161,6995,3839
16000US0455000,2015,11867,124461,29010,73822,34317,84452,29049,10966,5446,11755,120839,34182,75583,40975,87530,35088,8288,4343
16000US0455000,2016,16085,120765,27571,76878,37188,90170,29375,11782,5073,13120,117919,35977,83105,37822,94056,40164,8576,5089
16000US0455000,2017,12469,127002,30589,80162,37420,92667,36774,9980,5299,12377,115739,33998,86761,46155,97136,40013,7703,5987
16000US0455000,2018,14349,125080,31039,83414,42327,100295,35697,11968,5269,13396,126036,39926,87930,45969,99220,43731,9141,4889
16000US0455000,2019,17380,137753,32862,84483,37467,93345,36750,13196,6096,16376,127376,39580,84933,45107,105755,43735,9580,5442
