geoid,year,female_12th_grade_no_diploma,female_hs_graduate_ged_alt,female_college_less_than_1_year,female_college_1_or_more_year,female_associate_degree,female_bachelor_degree,female_master_degree,female_professional_school_degree,female_doctorate_degree
16000US0455000,2008,9831,111376,32876,76752,33808,71223,28629,7541,2316
16000US0455000,2009,13114,110334,35240,75547,35673,74055,34552,7128,3296
16000US0455000,2010,10005,117878,35491,72204,32154,74550,27961,6573,2865
16000US0455000,2011,12190,111115,34147,77491,34382,77945,29337,6635,2371
16000US0455000,2012,10123,110727,34203,75603,40187,79096,31236,7490,4032
16000US0455000,2013,10558,114474,33547,76653,41185,82462,35604,7276,3431
16000US0455000,2014,9376,109241,35756,79130,42095,85256,37161,6995,3839
16000US0455000,2015,11755,120839,34182,75583,40975,87530,35088,8288,4343
16000US0455000,2016,13120,117919,35977,83105,37822,94056,40164,8576,5089
16000US0455000,2017,12377,115739,33998,86761,46155,97136,40013,7703,5987
16000US0455000,2018,13396,126036,39926,87930,45969,99220,43731,9141,4889
16000US0455000,2019,16376,127376,39580,84933,45107,105755,43735,9580,5442
