geoid,year,male_17_and_below,male_18_24,male_25_34,male_35_44,male_45_54,male_55_64,male_65_74,male_75_and_above,female_17_and_below,female_18_24,female_25_34,female_35_44,female_45_54,female_55_64,female_65_74,female_75_and_above
16000US0455000,2008,224813,75502,138210,121379,105617,69683,29578,19260,214921,63197,117240,107187,101973,68867,34306,33524
16000US0455000,2009,237092,76628,152226,126297,107543,70037,30419,22565,229385,69214,126436,107702,99000,72192,33510,33414
16000US0455000,2010,211246,76656,118987,107214,92250,68649,34546,22321,192170,71528,113287,102882,96232,71964,39513,30036
16000US0455000,2011,211859,82426,110413,107343,99208,74321,33311,21097,193733,74057,108472,104638,101966,74601,38337,33702
16000US0455000,2012,205820,80935,119173,107130,96683,73054,36854,23523,198293,76355,109712,109090,99620,76316,43385,32816
16000US0455000,2013,207484,83608,124647,102619,102278,75758,37818,21938,196667,77449,119292,104018,101357,79917,46779,31721
16000US0455000,2014,206980,76657,123929,108792,101108,77854,43383,25212,205929,78509,117849,108261,101615,79266,49705,31996
16000US0455000,2015,215608,80490,124208,113292,100197,82303,44088,26647,195125,76132,119956,110234,100483,83075,52272,38891
16000US0455000,2016,221899,82900,127378,112720,100104,82292,47974,26517,214171,77324,123865,109732,105550,89325,54615,38675
16000US0455000,2017,215720,80946,127830,111411,108190,89150,50272,27726,210548,79884,127294,111150,99904,89678,56062,40320
16000US0455000,2018,217137,82026,140909,111856,105599,85877,49858,31306,210651,77548,138761,111199,108574,91436,57713,39822
16000US0455000,2019,213038,82824,137777,121976,104714,94067,54476,29803,207073,78815,135811,113970,105542,98474,62402,40226
