geoid,year,Total,Not Hispanic or Latino,Not Hispanic or Latino - White alone,Not Hispanic or Latino - Black alone,Not Hispanic or Latino - Native alone,Not Hispanic or Latino - Asian alone,Not Hispanic or Latino - Pacific Islander alone,Not Hispanic or Latino - Some other race alone,Not Hispanic or Latino - 2 or more races,Not Hispanic or Latino - 2 or more races - including other race,Not Hispanic or Latino - 2 or more races - excluding other race,Hispanic or Latino,Hispanic or Latino - White alone,Hispanic or Latino - Black alone,Hispanic or Latino - Native alone,Hispanic or Latino - Asian alone,Hispanic or Latino - Pacific Islander alone,Hispanic or Latino - Some other race alone,Hispanic or Latino - 2 or more races,Hispanic or Latino - 2 or more races - including other race,Hispanic or Latino - 2 or more races - excluding other race
16000US0455000,2010,1449481,877736,690476,95119,20590,41419,2467,2317,25348,1331,24017,571745,438133,5216,4047,631,48,108036,15634,11135,4499
16000US0455000,2011,1469484,878340,687663,90714,25517,49073,2710,2196,20467,866,19601,591144,459552,4197,4111,458,320,108904,13602,7664,5938
16000US0455000,2012,1488759,888308,683240,98375,24278,49983,2772,2575,27085,978,26107,600451,458446,6777,5194,1449,0,114479,14106,8235,5871
16000US0455000,2013,1513350,888434,682398,100252,25663,43803,2403,1172,32743,2879,29864,624916,451729,3940,6199,1133,240,143979,17696,9702,7994
16000US0455000,2014,1537045,903946,689526,97631,25221,55757,4645,1989,29177,1684,27493,633099,432794,4407,7012,1424,105,166761,20596,12439,8157
16000US0455000,2015,1563001,893087,679224,103568,25760,49628,2394,1399,31114,1289,29825,669914,440264,6840,5443,2217,278,194623,20249,12289,7960
16000US0455000,2016,1615041,907949,680241,101195,23873,60581,2515,3512,36032,1421,34611,707092,414421,4377,7820,1937,213,252513,25811,16289,9522
16000US0455000,2017,1626085,928339,679477,112003,27536,62971,3595,4031,38726,777,37949,697746,513448,5764,5174,2245,0,142047,29068,11561,17507
16000US0455000,2018,1660272,945954,701841,113435,31035,55382,2447,2453,39361,1159,38202,714318,576901,8508,9618,1812,542,90938,25999,13168,12831
16000US0455000,2019,1680988,955594,695743,115804,28127,65663,5271,3118,41868,2346,39522,725394,593465,6959,6338,1849,397,93563,22823,11981,10842
