geoid,year,Total Population 25 Years and over,Male Population 25 Years and over,Male - No schooling completed,Male - Nursery to 4th grade,Male - 5th and 6th grade,Male - 7th and 8th grade,Male - 9th grade,Male - 10th grade,Male - 11th grade,"Male - 12th grade, no diploma","Male - High school graduate, GED, or alternative","Male - Some college, less than 1 year","Male - Some college, 1 or more years, no degree",Male - Associate's degree,Male - Bachelor's degree,Male - Master's degree,Male - Professional school degree,Male - Doctorate degree,Female Population 25 Years and over,Female - No schooling completed,Female - Nursery to 4th grade,Female - 5th and 6th grade,Female - 7th and 8th grade,Female - 9th grade,Female - 10th grade,Female - 11th grade,"Female - 12th grade, no diploma","Female - High school graduate, GED, or alternative","Female - Some college, less than 1 year","Female - Some college, 1 or more years, no degree",Female - Associate's degree,Female - Bachelor's degree,Female - Master's degree,Female - Professional school degree,Female - Doctorate degree
16000US0455000,2008,946824,483727,8104,9678,26989,18334,15709,14494,9745,14376,123068,27130,79088,29881,69143,24244,10552,3192,463097,8343,9449,18969,13723,13772,13583,10906,9831,111376,32876,76752,33808,71223,28629,7541,2316
16000US0455000,2009,981341,509087,8571,9143,26159,16498,14975,13872,14439,14127,123980,28856,83834,31704,77205,30058,10787,4879,472254,7670,6850,20039,13003,12748,10169,12836,13114,110334,35240,75547,35673,74055,34552,7128,3296
16000US0455000,2010,897881,443967,6748,6725,16320,11092,9661,10478,15334,9926,116295,27368,69395,32751,74738,24734,8451,3951,453914,7680,6760,13677,14751,11546,9165,10654,10005,117878,35491,72204,32154,74550,27961,6573,2865
16000US0455000,2011,907409,445693,7550,7856,15833,14863,11354,10144,11024,15105,104111,26871,74708,26913,80072,25231,9168,4890,461716,7542,7691,16287,10750,12729,9722,11382,12190,111115,34147,77491,34382,77945,29337,6635,2371
16000US0455000,2012,927356,456417,6952,6712,21512,12541,10395,9141,12199,12735,107028,27495,70718,33343,78485,31193,11760,4208,470939,8762,7279,18894,12874,10911,9696,9826,10123,110727,34203,75603,40187,79096,31236,7490,4032
16000US0455000,2013,948142,465058,6825,5978,15424,16995,9830,10140,12598,12061,112833,27960,75061,35422,79996,28720,10106,5109,483084,7012,5865,16671,16885,9835,9534,12092,10558,114474,33547,76653,41185,82462,35604,7276,3431
16000US0455000,2014,968970,480278,10079,6654,15866,18774,10034,8874,12565,11455,114396,27889,76594,35121,84250,32429,11147,4151,488692,9275,4141,18337,17772,10259,9687,10372,9376,109241,35756,79130,42095,85256,37161,6995,3839
16000US0455000,2015,995646,490735,10122,7288,15644,14350,13428,11628,14885,11867,124461,29010,73822,34317,84452,29049,10966,5446,504911,12524,6274,18079,14395,11798,9501,13757,11755,120839,34182,75583,40975,87530,35088,8288,4343
16000US0455000,2016,1018747,496985,13006,7496,16072,11651,11256,10810,11807,16085,120765,27571,76878,37188,90170,29375,11782,5073,521762,14333,6356,17280,12877,11168,12022,11898,13120,117919,35977,83105,37822,94056,40164,8576,5089
16000US0455000,2017,1038987,514579,11848,5934,15253,16179,13109,9946,9948,12469,127002,30589,80162,37420,92667,36774,9980,5299,524408,9875,5531,15253,13744,13293,10081,10762,12377,115739,33998,86761,46155,97136,40013,7703,5987
16000US0455000,2018,1072910,525405,11746,6872,12314,14758,11036,7823,11418,14349,125080,31039,83414,42327,100295,35697,11968,5269,547505,10829,4157,14460,15123,10842,11386,10470,13396,126036,39926,87930,45969,99220,43731,9141,4889
16000US0455000,2019,1099238,542813,11738,6487,15910,12895,12929,10556,12966,17380,137753,32862,84483,37467,93345,36750,13196,6096,556425,14779,5674,12815,13178,14534,6641,10920,16376,127376,39580,84933,45107,105755,43735,9580,5442
