geoid,year,male_12th_grade_no_diploma,male_hs_graduate_ged_alt,male_college_less_than_1_year,male_college_1_or_more_year,male_associate_degree,male_bachelor_degree,male_master_degree,male_professional_school_degree,male_doctorate_degree
16000US0455000,2008,14376,123068,27130,79088,29881,69143,24244,10552,3192
16000US0455000,2009,14127,123980,28856,83834,31704,77205,30058,10787,4879
16000US0455000,2010,9926,116295,27368,69395,32751,74738,24734,8451,3951
16000US0455000,2011,15105,104111,26871,74708,26913,80072,25231,9168,4890
16000US0455000,2012,12735,107028,27495,70718,33343,78485,31193,11760,4208
16000US0455000,2013,12061,112833,27960,75061,35422,79996,28720,10106,5109
16000US0455000,2014,11455,114396,27889,76594,35121,84250,32429,11147,4151
16000US0455000,2015,11867,124461,29010,73822,34317,84452,29049,10966,5446
16000US0455000,2016,16085,120765,27571,76878,37188,90170,29375,11782,5073
16000US0455000,2017,12469,127002,30589,80162,37420,92667,36774,9980,5299
16000US0455000,2018,14349,125080,31039,83414,42327,100295,35697,11968,5269
16000US0455000,2019,17380,137753,32862,84483,37467,93345,36750,13196,6096
